s,Volts
-1.6152e-006,           0
-1.6148e-006,-0.0199999996
-1.6144e-006,-0.0199999996
 -1.614e-006,           0
-1.6136e-006,-0.0199999996
-1.6132e-006,-0.0399999991
-1.6128e-006,-0.0199999996
-1.6124e-006,-0.0399999991
 -1.612e-006,-0.0399999991
-1.6116e-006,           0
-1.6112e-006,-0.0199999996
-1.6108e-006,-0.0199999996
-1.6104e-006,           0
  -1.61e-006,-0.0199999996
-1.6096e-006,-0.0199999996
-1.6092e-006,           0
-1.6088e-006,-0.0199999996
-1.6084e-006,-0.0199999996
 -1.608e-006,           0
-1.6076e-006,-0.0199999996
-1.6072e-006,-0.0399999991
-1.6068e-006,           0
-1.6064e-006,           0
 -1.606e-006,-0.0399999991
-1.6056e-006,0.0199999996
-1.6052e-006,-0.0199999996
-1.6048e-006,-0.0199999996
-1.6044e-006,-0.0199999996
 -1.604e-006,-0.0199999996
-1.6036e-006,-0.0399999991
-1.6032e-006,           0
-1.6028e-006,-0.0399999991
-1.6024e-006,           0
 -1.602e-006,           0
-1.6016e-006,-0.0399999991
-1.6012e-006,-0.0199999996
-1.6008e-006,-0.0199999996
-1.6004e-006,-0.0199999996
   -1.6e-006,-0.0199999996
-1.5996e-006,-0.0399999991
-1.5992e-006,-0.0399999991
-1.5988e-006,           0
-1.5984e-006,-0.0399999991
 -1.598e-006,-0.0199999996
-1.5976e-006,-0.0199999996
-1.5972e-006,-0.0199999996
-1.5968e-006,-0.0399999991
-1.5964e-006,-0.0599999987
 -1.596e-006,0.0199999996
-1.5956e-006,-0.0599999987
-1.5952e-006,-0.0199999996
-1.5948e-006,-0.0399999991
-1.5944e-006,-0.0399999991
 -1.594e-006,-0.0199999996
-1.5936e-006,           0
-1.5932e-006,-0.0399999991
-1.5928e-006,-0.0199999996
-1.5924e-006,-0.0399999991
 -1.592e-006,-0.0599999987
-1.5916e-006,-0.0399999991
-1.5912e-006,           0
-1.5908e-006,-0.0199999996
-1.5904e-006,-0.0199999996
  -1.59e-006,-0.0199999996
-1.5896e-006,-0.0199999996
-1.5892e-006,-0.0199999996
-1.5888e-006,0.0199999996
-1.5884e-006,           0
 -1.588e-006,-0.0399999991
-1.5876e-006,           0
-1.5872e-006,           0
-1.5868e-006,           0
-1.5864e-006,-0.0199999996
 -1.586e-006,           0
-1.5856e-006,-0.0399999991
-1.5852e-006,           0
-1.5848e-006,-0.0399999991
-1.5844e-006,-0.0599999987
 -1.584e-006,-0.0399999991
-1.5836e-006,-0.0199999996
